Koordinatensystem : Lambert konform konisch
Rechtswert        : 3943500 Meter
Hochwert          : 2443500 Meter
Hoehenlage        : 380 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3943500 2443500  1  3 21  -8.0  974 332  0.8 7  1.6  76    0    0 233 -307  2
3943500 2443500  1  3 22  -8.4  974 229  0.9 4  1.6  78    0    0 228 -305  2
3943500 2443500  1  3 23  -9.0  974 198  0.9 4  1.6  80    0    0 216 -304  2
3943500 2443500  1  3 24  -9.3  974 243  1.0 8  1.6  82    0    0 231 -303  2
3943500 2443500  1  4  1 -11.1  974 267  1.5 7  1.5  82    0    0 241 -301  2
3943500 2443500  1  4  2 -10.1  974 169  0.7 3  1.5  83    0    0 221 -301  2
3943500 2443500  1  4  3 -10.1  974 249  1.0 1  1.6  85    0    0 203 -301  2
3943500 2443500  1  4  4 -11.1  974 188  1.6 0  1.5  85    0    0 190 -302  2
3943500 2443500  1  4  5  -9.7  974 198  1.4 3  1.5  85    0    0 199 -302  2
3943500 2443500  1  4  6  -8.7  973 210  1.1 6  1.6  83    0    0 224 -302  2
3943500 2443500  1  4  7  -8.2  973 228  1.2 8  1.7  80    0    0 245 -303  2
3943500 2443500  1  4  8  -8.0  972 218  2.3 8  1.7  80    0    0 255 -305  2
3943500 2443500  1  4  9  -7.2  973 249  2.2 8  1.8  81    0   10 257 -306  2
3943500 2443500  1  4 10  -6.1  973 203  1.7 7  1.9  79    3   56 257 -308  2
3943500 2443500  1  4 11  -5.2  973 230  2.3 7  2.0  76    0   56 256 -312  2
3943500 2443500  1  4 12  -4.6  973 231  3.4 8  2.1  75    0   40 266 -316  2
3943500 2443500  1  4 13  -3.9  973 223  3.5 8  2.2  75    0   39 275 -319  2
3943500 2443500  1  4 14  -3.4  972 210  2.5 7  2.3  76    0   42 272 -320  2
3943500 2443500  1  4 15  -3.3  972 213  3.6 7  2.4  79    0   34 268 -320  2
3943500 2443500  1  4 16  -2.9  972 210  3.8 8  2.5  81    0   18 275 -321  2
3943500 2443500  1  4 17  -2.6  972 216  3.7 8  2.6  80    0    2 280 -320  2
3943500 2443500  1  4 18  -2.6  973 230  4.1 8  2.7  82    0    0 280 -319  2
3943500 2443500  1  4 19  -2.7  973 220  3.5 8  2.8  85    0    0 279 -318  2
3943500 2443500  1  4 20  -2.6  973 229  3.7 8  2.8  86    0    0 278 -318  2
3943500 2443500  1  4 21  -1.8  974 240  3.9 8  2.8  84    0    0 279 -318  2
3943500 2443500  1  4 22  -1.4  975 248  4.5 8  2.8  80    0    0 279 -319  2
3943500 2443500  1  4 23  -1.4  975 245  4.6 8  2.9  80    0    0 280 -319  2
3943500 2443500  1  4 24  -0.9  975 251  3.6 6  3.0  82    0    0 271 -318  2
3943500 2443500  1  5  1  -0.4  975 227  4.3 8  3.1  82    0    0 271 -318  2
3943500 2443500  1  5  2  -0.8  975 225  4.1 8  3.0  81    0    0 279 -319  2
3943500 2443500  1  5  3  -0.6  975 225  3.8 8  3.0  81    0    0 280 -319  2
3943500 2443500  1  5  4  -0.7  975 226  4.1 8  3.1  82    0    0 280 -319  2
