 	0-1                                                                                                                                                                                                                                                                                                         	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	%                                                                                                                                                                                                                                                                                                           	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	1/h                                                                                                                                                                                                                                                                                                         	m3                                                                                                                                                                                                                                                                                                          	0/1                                                                                                                                                                                                                                                                                                         	0                                                                                                                                                                                                                                                                                                           	
Period	Occupation_OFFICE_SW     	Tamb                     	X_amb                    	Tamb_m24                 	Tamb_g24                 	Tset_cl_OFFICE_SW        	Tset_ht_OFFICE_SW        	Tair_OFFICE_SW           	Top_OFFICE_SW            	ATop_OFFICE_SW           	ATair_OFFICE_SW          	Tdp_OFFICE_SW            	X_OFFICE_SW              	Arh_OFFICE_SW            	Tsup_al_OFFICE_SW        	Tout_al_OFFICE_SW        	Tsurf_al_OFFICE_SW       	Tsup_mv_OFFICE_SW        	X_mv_OFFICE_SW           	Tearthd_OFFICE_SW        	Thrc_OFFICE_SW           	ACR_tot_OFFICE_SW        	Vol_OFFICE_SW            	SHD_active_OFFICE_SW     	Zero                     	
     28.0000       0.0000      -2.3875       2.8471      -1.3469       3.4492      26.0000      20.0000      18.2611      17.1972       0.0000       0.0000      -0.7951       3.5320       0.0000       0.0000       0.0000       0.0000      -2.3875       2.8471      -2.3875      11.8736       0.5000     436.5000       0.0000       0.0000
     29.0000       0.0000      -2.5125       2.8135      -1.3887       3.4492      26.0000      20.0000      18.3241      17.1974       0.0000       0.0000      -1.1668       3.4240       0.0000       0.0000       0.0000       0.0000      -2.5125       2.8135      -2.5125      11.8116       0.5000     436.5000       0.0000       0.0000
     30.0000       0.0000      -2.7000       2.7693      -1.4330       3.4492      26.0000      20.0000      18.3826      17.1975       0.0000       0.0000      -1.5103       3.3270       0.0000       0.0000       0.0000       0.0000      -2.7000       2.7693      -2.7000      11.6826       0.5000     436.5000       0.0000       0.0000
     31.0000       0.0000      -2.9000       2.7193      -1.4816       3.4492      26.0000      20.0000      18.4369      17.1976       0.0000       0.0000      -1.8349       3.2376       0.0000       0.0000       0.0000       0.0000      -2.9000       2.7193      -2.9000      11.5369       0.5000     436.5000       0.0000       0.0000
     32.0000       0.0000      -3.1000       2.6445      -1.5370       3.4492      26.0000      20.0000      18.4874      17.1977       0.0000       0.0000      -2.1518       3.1524       0.0000       0.0000       0.0000       0.0000      -3.1000       2.6445      -3.1000      11.3874       0.5000     436.5000       0.0000       0.0000
     33.0000       1.0000      -3.2500       2.5533      -1.6029       3.4492      26.0000      20.0000      22.5057      19.9502      19.9502      22.5057       0.5916       3.9499      23.3929       0.0000       0.0000       0.0000      24.0000       4.0000      -3.2500      15.2557       2.4800     436.5000       0.0000       0.0000
     34.0000       1.0000      -3.0500       2.5050      -1.6754       3.4492      26.0000      20.0000      22.4761      20.2263      20.2263      22.4761       3.7674       4.9511      29.3952       0.0000       0.0000       0.0000      24.0000       4.0000      -3.0500      15.4261       2.4800     436.5000       0.0000       0.0000
     35.0000       1.0000      -2.4875       2.4884      -1.7402       3.4492      26.0000      20.0000      22.0980      20.2151      20.2151      22.0980       4.9722       5.3856      32.6959       0.0000       0.0000       0.0000      24.0000       4.0000      -2.4875      15.6105       2.4800     436.5000       0.0000       0.0000
     36.0000       1.0000      -1.9250       2.5083      -1.7943       3.4492      26.0000      20.0000      21.8649      20.2098      20.2098      21.8649       5.4733       5.5771      34.3318       0.0000       0.0000       0.0000      24.0000       4.0000      -1.9250      15.8982       2.4800     436.5000       0.0000       0.0000
     37.0000       1.0000      -2.0375       2.4250      -1.8536       3.4492      26.0000      20.0000      21.7475      20.2024      20.2024      21.7475       5.6749       5.6560      35.0632       0.0000       0.0000       0.0000      24.0000       4.0000      -2.0375      15.7100       2.4800     436.5000       0.0000       0.0000
     38.0000       1.0000      -1.9125       2.4424      -1.9101       3.4492      26.0000      20.0000      21.6734      20.2013      20.2013      21.6734       5.7533       5.6870      35.4134       0.0000       0.0000       0.0000      24.0000       4.0000      -1.9125      15.7555       2.4800     436.5000       0.0000       0.0000
     39.0000       1.0000      -1.8375       2.4578      -1.9581       3.4492      26.0000      20.0000      21.6184      20.2012      20.2012      21.6184       5.7946       5.7033      35.6340       0.0000       0.0000       0.0000      24.0000       4.0000      -1.8375      15.7532       2.4800     436.5000       0.0000       0.0000
     40.0000       1.0000      -2.0250       2.4195      -2.0092       3.4492      26.0000      20.0000      21.6285      20.1965      20.1965      21.6285       5.8085       5.7088      35.6463       0.0000       0.0000       0.0000      24.0000       4.0000      -2.0250      15.6035       2.4800     436.5000       0.0000       0.0000
     41.0000       1.0000      -2.4000       2.3369      -2.0689       3.4492      26.0000      20.0000      21.8528      20.3773      20.3773      21.8528       5.7964       5.7041      35.1319       0.0000       0.0000       0.0000      24.0000       4.0000      -2.4000      15.4528       2.4800     436.5000       0.0000       0.0000
     42.0000       1.0000      -2.7875       2.2131      -2.1416       3.4492      26.0000      20.0000      21.8086      20.3501      20.3501      21.8086       5.7597       5.6895      35.1374       0.0000       0.0000       0.0000      24.0000       4.0000      -2.7875      15.0211       2.4800     436.5000       0.0000       0.0000
     43.0000       0.0000      -3.2375       2.1020      -2.2275       3.4492      26.0000      20.0000      18.8663      18.2594       0.0000       0.0000       5.0060       5.3999       0.0000       0.0000       0.0000       0.0000      -3.2375       2.1020      -3.2375      11.6288       0.5000     436.5000       0.0000       0.0000
     44.0000       0.0000      -4.4625       1.8975      -2.3465       3.4492      26.0000      20.0000      17.5433      17.1681       0.0000       0.0000       3.5586       4.8776       0.0000       0.0000       0.0000       0.0000      -4.4625       1.8975      -4.4625       9.0808       0.5000     436.5000       0.0000       0.0000
     45.0000       0.0000      -5.4875       1.7761      -2.5109       3.4492      26.0000      20.0000      17.9635      17.1864       0.0000       0.0000       2.1347       4.4092       0.0000       0.0000       0.0000       0.0000      -5.4875       1.7761      -5.4875       8.4760       0.5000     436.5000       0.0000       0.0000
     46.0000       0.0000      -5.9250       1.7390      -2.6979       3.4492      26.0000      20.0000      18.1823      17.1910       0.0000       0.0000       0.7803       4.0021       0.0000       0.0000       0.0000       0.0000      -5.9250       1.7390      -5.9250       8.2573       0.5000     436.5000       0.0000       0.0000
     47.0000       0.0000      -6.9875       1.6280      -2.9090       3.4492      26.0000      20.0000      18.3407      17.1931       0.0000       0.0000      -0.4159       3.6464       0.0000       0.0000       0.0000       0.0000      -6.9875       1.6280      -6.9875       7.3532       0.5000     436.5000       0.0000       0.0000
     48.0000       0.0000      -7.9500       1.5470      -3.1554       2.9838      26.0000      20.0000      18.4719      17.1951       0.0000       0.0000      -1.5054       3.3292       0.0000       0.0000       0.0000       0.0000      -7.9500       1.5470      -7.9500       6.5219       0.5000     436.5000       0.0000       0.0000
     49.0000       0.0000      -8.1125       1.5488      -3.4085       1.5877      26.0000      20.0000      18.5716      17.1962       0.0000       0.0000      -2.5242       3.0557       0.0000       0.0000       0.0000       0.0000      -8.1125       1.5488      -8.1125       6.4591       0.5000     436.5000       0.0000       0.0000
     50.0000       0.0000      -8.7000       1.4866      -3.6672       1.5877      26.0000      20.0000      18.6639      17.1964       0.0000       0.0000      -3.4740       2.8196       0.0000       0.0000       0.0000       0.0000      -8.7000       1.4866      -8.7000       5.9639       0.5000     436.5000       0.0000       0.0000
     51.0000       0.0000      -8.7750       1.4812      -3.9380       1.5877      26.0000      20.0000      18.7389      17.1972       0.0000       0.0000      -4.3638       2.6138       0.0000       0.0000       0.0000       0.0000      -8.7750       1.4812      -8.7750       5.9639       0.5000     436.5000       0.0000       0.0000
     52.0000       0.0000      -8.7500       1.4980      -4.2045       1.5877      26.0000      20.0000      18.8005      17.1974       0.0000       0.0000      -5.1569       2.4420       0.0000       0.0000       0.0000       0.0000      -8.7500       1.4980      -8.7500       6.0505       0.5000     436.5000       0.0000       0.0000
     53.0000       0.0000      -9.4625       1.4087      -4.4847       1.5877      26.0000      20.0000      18.8681      17.1966       0.0000       0.0000      -5.9024       2.2902       0.0000       0.0000       0.0000       0.0000      -9.4625       1.4087      -9.4625       5.4056       0.5000     436.5000       0.0000       0.0000
     54.0000       0.0000      -9.5375       1.3993      -4.7728       1.5877      26.0000      20.0000      18.9253      17.1977       0.0000       0.0000      -6.6130       2.1535       0.0000       0.0000       0.0000       0.0000      -9.5375       1.3993      -9.5375       5.3878       0.5000     436.5000       0.0000       0.0000
