 	0-1                                                                                                                                                                                                                                                                                                         	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	%                                                                                                                                                                                                                                                                                                           	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	1/h                                                                                                                                                                                                                                                                                                         	m3                                                                                                                                                                                                                                                                                                          	0/1                                                                                                                                                                                                                                                                                                         	0                                                                                                                                                                                                                                                                                                           	
Period	Occupation_A3            	Tamb                     	X_amb                    	Tamb_m24                 	Tamb_g24                 	Tset_cl_A3               	Tset_ht_A3               	Tair_A3                  	Top_A3                   	ATop_A3                  	ATair_A3                 	Tdp_A3                   	X_A3                     	Arh_A3                   	Tsup_al_A3               	Tout_al_A3               	Tsurf_al_A3              	Tsup_mv_A3               	X_mv_A3                  	Tearthd_A3               	Thrc_A3                  	ACR_tot_A3               	Vol_A3                   	SHD_active_A3            	Zero                     	
     28.0000       0.0000      -2.3875       2.8471      -1.3469       3.4492      26.0000      20.0000      18.2611      17.1972       0.0000       0.0000      -0.6191       3.5842       0.0000       0.0000       0.0000       0.0000      -2.3875       2.8471      -2.3875      11.8736       0.5000    2299.7000       0.0000       0.0000
     29.0000       0.0000      -2.5125       2.8135      -1.3887       3.4492      26.0000      20.0000      18.3241      17.1974       0.0000       0.0000      -0.8340       3.5205       0.0000       0.0000       0.0000       0.0000      -2.5125       2.8135      -2.5125      11.8116       0.5000    2299.7000       0.0000       0.0000
     30.0000       0.0000      -2.7000       2.7693      -1.4330       3.4492      26.0000      20.0000      18.3826      17.1975       0.0000       0.0000      -1.0276       3.4640       0.0000       0.0000       0.0000       0.0000      -2.7000       2.7693      -2.7000      11.6826       0.5000    2299.7000       0.0000       0.0000
     31.0000       0.0000      -2.9000       2.7193      -1.4816       3.4492      26.0000      20.0000      18.4369      17.1976       0.0000       0.0000      -1.2112       3.4113       0.0000       0.0000       0.0000       0.0000      -2.9000       2.7193      -2.9000      11.5369       0.5000    2299.7000       0.0000       0.0000
     32.0000       0.0000      -3.1000       2.6445      -1.5370       3.4492      26.0000      20.0000      18.4874      17.1977       0.0000       0.0000      -1.3907       3.3604       0.0000       0.0000       0.0000       0.0000      -3.1000       2.6445      -3.1000      11.3874       0.5000    2299.7000       0.0000       0.0000
     33.0000       1.0000      -3.2500       2.5533      -1.6029       3.4492      26.0000      20.0000      22.5057      19.9502      19.9502      22.5057      -0.6956       3.5621      21.1688       0.0000       0.0000       0.0000      24.0000       4.0000      -3.2500      15.2557       1.5995    2299.7000       0.0000       0.0000
     34.0000       1.0000      -3.0500       2.5050      -1.6754       3.4492      26.0000      20.0000      22.4761      20.2263      20.2263      22.4761      -0.0469       3.7599      22.3648       0.0000       0.0000       0.0000      24.0000       4.0000      -3.0500      15.4261       1.5995    2299.7000       0.0000       0.0000
     35.0000       1.0000      -2.4875       2.4884      -1.7402       3.4492      26.0000      20.0000      22.0980      20.2151      20.2151      22.0980       0.4576       3.9093      23.7889       0.0000       0.0000       0.0000      24.0000       4.0000      -2.4875      15.6105       1.5995    2299.7000       0.0000       0.0000
     36.0000       1.0000      -1.9250       2.5083      -1.7943       3.4492      26.0000      20.0000      21.8649      20.2098      20.2098      21.8649       0.8988       4.0351      24.9007       0.0000       0.0000       0.0000      24.0000       4.0000      -1.9250      15.8982       1.5995    2299.7000       0.0000       0.0000
     37.0000       1.0000      -2.0375       2.4250      -1.8536       3.4492      26.0000      20.0000      21.7475      20.2024      20.2024      21.7475       1.2368       4.1340      25.6903       0.0000       0.0000       0.0000      24.0000       4.0000      -2.0375      15.7100       1.5995    2299.7000       0.0000       0.0000
     38.0000       1.0000      -1.9125       2.4424      -1.9101       3.4492      26.0000      20.0000      21.6734      20.2013      20.2013      21.6734       1.5076       4.2148      26.3080       0.0000       0.0000       0.0000      24.0000       4.0000      -1.9125      15.7555       1.5995    2299.7000       0.0000       0.0000
     39.0000       1.0000      -1.8375       2.4578      -1.9581       3.4492      26.0000      20.0000      21.6184      20.2012      20.2012      21.6184       1.7370       4.2844      26.8296       0.0000       0.0000       0.0000      24.0000       4.0000      -1.8375      15.7532       1.5995    2299.7000       0.0000       0.0000
     40.0000       1.0000      -2.0250       2.4195      -2.0092       3.4492      26.0000      20.0000      21.6285      20.1965      20.1965      21.6285       1.9236       4.3418      27.1697       0.0000       0.0000       0.0000      24.0000       4.0000      -2.0250      15.6035       1.5995    2299.7000       0.0000       0.0000
     41.0000       1.0000      -2.4000       2.3369      -2.0689       3.4492      26.0000      20.0000      21.5141      20.2080      20.2080      21.5141       2.0632       4.3852      27.6323       0.0000       0.0000       0.0000      24.0000       4.0000      -2.4000      15.1141       1.5995    2299.7000       0.0000       0.0000
     42.0000       1.0000      -2.7875       2.2131      -2.1416       3.4492      26.0000      20.0000      21.5041      20.1978      20.1978      21.5041       2.1361       4.4081      27.7921       0.0000       0.0000       0.0000      24.0000       4.0000      -2.7875      14.7166       1.5995    2299.7000       0.0000       0.0000
     43.0000       0.0000      -3.2375       2.1020      -2.2275       3.4492      26.0000      20.0000      18.2560      17.9542       0.0000       0.0000       1.4552       4.2001       0.0000       0.0000       0.0000       0.0000      -3.2375       2.1020      -3.2375      11.0185       0.5000    2299.7000       0.0000       0.0000
     44.0000       0.0000      -4.4625       1.8975      -2.3465       3.4492      26.0000      20.0000      17.5357      17.1643       0.0000       0.0000       0.5366       3.9317       0.0000       0.0000       0.0000       0.0000      -4.4625       1.8975      -4.4625       9.0732       0.5000    2299.7000       0.0000       0.0000
     45.0000       0.0000      -5.4875       1.7761      -2.5109       3.4492      26.0000      20.0000      17.9635      17.1864       0.0000       0.0000      -0.0823       3.7491       0.0000       0.0000       0.0000       0.0000      -5.4875       1.7761      -5.4875       8.4760       0.5000    2299.7000       0.0000       0.0000
     46.0000       0.0000      -5.9250       1.7390      -2.6979       3.4492      26.0000      20.0000      18.1823      17.1910       0.0000       0.0000      -0.6327       3.5803       0.0000       0.0000       0.0000       0.0000      -5.9250       1.7390      -5.9250       8.2573       0.5000    2299.7000       0.0000       0.0000
     47.0000       0.0000      -6.9875       1.6280      -2.9090       3.4492      26.0000      20.0000      18.3407      17.1931       0.0000       0.0000      -1.1835       3.4194       0.0000       0.0000       0.0000       0.0000      -6.9875       1.6280      -6.9875       7.3532       0.5000    2299.7000       0.0000       0.0000
     48.0000       0.0000      -7.9500       1.5470      -3.1554       2.9838      26.0000      20.0000      18.4719      17.1951       0.0000       0.0000      -1.7410       3.2634       0.0000       0.0000       0.0000       0.0000      -7.9500       1.5470      -7.9500       6.5219       0.5000    2299.7000       0.0000       0.0000
     49.0000       0.0000      -8.1125       1.5488      -3.4085       1.5877      26.0000      20.0000      18.5716      17.1962       0.0000       0.0000      -2.2811       3.1184       0.0000       0.0000       0.0000       0.0000      -8.1125       1.5488      -8.1125       6.4591       0.5000    2299.7000       0.0000       0.0000
     50.0000       0.0000      -8.7000       1.4866      -3.6672       1.5877      26.0000      20.0000      18.6639      17.1964       0.0000       0.0000      -2.8082       2.9828       0.0000       0.0000       0.0000       0.0000      -8.7000       1.4866      -8.7000       5.9639       0.5000    2299.7000       0.0000       0.0000
     51.0000       0.0000      -8.7750       1.4812      -3.9380       1.5877      26.0000      20.0000      18.7389      17.1972       0.0000       0.0000      -3.3226       2.8556       0.0000       0.0000       0.0000       0.0000      -8.7750       1.4812      -8.7750       5.9639       0.5000    2299.7000       0.0000       0.0000
     52.0000       0.0000      -8.7500       1.4980      -4.2045       1.5877      26.0000      20.0000      18.8005      17.1974       0.0000       0.0000      -3.8055       2.7408       0.0000       0.0000       0.0000       0.0000      -8.7500       1.4980      -8.7500       6.0505       0.5000    2299.7000       0.0000       0.0000
     53.0000       0.0000      -9.4625       1.4087      -4.4847       1.5877      26.0000      20.0000      18.8681      17.1966       0.0000       0.0000      -4.2590       2.6369       0.0000       0.0000       0.0000       0.0000      -9.4625       1.4087      -9.4625       5.4056       0.5000    2299.7000       0.0000       0.0000
     54.0000       0.0000      -9.5375       1.3993      -4.7728       1.5877      26.0000      20.0000      18.9253      17.1977       0.0000       0.0000      -4.6867       2.5423       0.0000       0.0000       0.0000       0.0000      -9.5375       1.3993      -9.5375       5.3878       0.5000    2299.7000       0.0000       0.0000
     55.0000       0.0000      -9.6250       1.3885      -5.0553       1.5877      26.0000      20.0000      18.9767      17.1982       0.0000       0.0000      -5.0976       2.4542       0.0000       0.0000       0.0000       0.0000      -9.6250       1.3885      -9.6250       5.3517       0.5000    2299.7000       0.0000       0.0000
     56.0000       0.0000      -9.4000       1.4207      -5.3241       1.5877      26.0000      20.0000      19.0157      17.1984       0.0000       0.0000      -5.4564       2.3797       0.0000       0.0000       0.0000       0.0000      -9.4000       1.4207      -9.4000       5.6157       0.5000    2299.7000       0.0000       0.0000
     57.0000       1.0000      -9.4625       1.4383      -5.5854       1.5877      26.0000      20.0000      23.0198      19.9517      19.9517      23.0198      -4.2234       2.6468      15.2575       0.0000       0.0000       0.0000      24.0000       4.0000      -9.4625       9.5573       1.5995    2299.7000       0.0000       0.0000
     58.0000       1.0000      -8.1625       1.6063      -5.8179       1.5877      26.0000      20.0000      22.9654      20.2268      20.2268      22.9654      -3.0444       2.9243      16.9086       0.0000       0.0000       0.0000      24.0000       4.0000      -8.1625      10.8029       1.5995    2299.7000       0.0000       0.0000
     59.0000       1.0000      -6.3750       1.7687      -5.9991       1.5877      26.0000      20.0000      22.5795      20.2148      20.2148      22.5795      -2.1566       3.1516      18.6474       0.0000       0.0000       0.0000      24.0000       4.0000      -6.3750      12.2045       1.5995    2299.7000       0.0000       0.0000
     60.0000       1.0000      -4.6625       1.8450      -6.1295       1.5877      26.0000      20.0000      22.3304      20.2098      20.2098      22.3304      -1.4282       3.3502      20.1181       0.0000       0.0000       0.0000      24.0000       4.0000      -4.6625      13.6679       1.5995    2299.7000       0.0000       0.0000
     61.0000       1.0000      -4.4750       1.7393      -6.2334       1.5877      26.0000      20.0000      22.1701      20.2042      20.2042      22.1701      -0.8780       3.5077      21.2650       0.0000       0.0000       0.0000      24.0000       4.0000      -4.4750      13.6951       1.5995    2299.7000       0.0000       0.0000
     62.0000       1.0000      -4.3750       1.6789      -6.3356       1.5877      26.0000      20.0000      22.0708      20.2024      20.2024      22.0708      -0.4583       3.6326      22.1508       0.0000       0.0000       0.0000      24.0000       4.0000      -4.3750      13.6958       1.5995    2299.7000       0.0000       0.0000
     63.0000       1.0000      -4.3125       1.6815      -6.4368       1.5877      26.0000      20.0000      22.0180      20.2004      20.2004      22.0180      -0.1152       3.7376      22.8611       0.0000       0.0000       0.0000      24.0000       4.0000      -4.3125      13.7055       1.5995    2299.7000       0.0000       0.0000
     64.0000       1.0000      -5.4000       1.5590      -6.5627       1.5877      26.0000      20.0000      22.0299      20.1957      20.1957      22.0299       0.1387       3.8205      23.3476       0.0000       0.0000       0.0000      24.0000       4.0000      -5.4000      12.6299       1.5995    2299.7000       0.0000       0.0000
     65.0000       1.0000      -6.1000       1.5295      -6.7134       1.5877      26.0000      20.0000      21.9325      20.2062      20.2062      21.9325       0.3716       3.8851      23.8816       0.0000       0.0000       0.0000      24.0000       4.0000      -6.1000      11.8325       1.5995    2299.7000       0.0000       0.0000
     66.0000       1.0000      -6.7250       1.5130      -6.8733       1.5877      26.0000      20.0000      21.9311      20.1972      20.1972      21.9311       0.5261       3.9284      24.1486       0.0000       0.0000       0.0000      24.0000       4.0000      -6.7250      11.2061       1.5995    2299.7000       0.0000       0.0000
     67.0000       0.0000      -7.4375       1.4773      -7.0463       1.5877      26.0000      20.0000      18.3759      17.7352       0.0000       0.0000      -0.2117       3.7085       0.0000       0.0000       0.0000       0.0000      -7.4375       1.4773      -7.4375       6.9384       0.5000    2299.7000       0.0000       0.0000
     68.0000       0.0000      -7.7875       1.4572      -7.2008       1.5877      26.0000      20.0000      17.9816      17.1724       0.0000       0.0000      -1.0337       3.4626       0.0000       0.0000       0.0000       0.0000      -7.7875       1.4572      -7.7875       6.1941       0.5000    2299.7000       0.0000       0.0000
     69.0000       0.0000      -8.0250       1.4486      -7.3167       1.5877      26.0000      20.0000      18.3667      17.1882       0.0000       0.0000      -1.6449       3.2898       0.0000       0.0000       0.0000       0.0000      -8.0250       1.4486      -8.0250       6.3417       0.5000    2299.7000       0.0000       0.0000
     70.0000       0.0000      -8.4250       1.4332      -7.4210       1.5877      26.0000      20.0000      18.5638      17.1934       0.0000       0.0000      -2.2240       3.1335       0.0000       0.0000       0.0000       0.0000      -8.4250       1.4332      -8.4250       6.1388       0.5000    2299.7000       0.0000       0.0000
